SBW_STATN_ID,SBW_STATN_NM,SBW_STATN_NCNAM,SBW_STATN_XCRD,SBW_STATN_YCRD,NEXT_STATN_ID1,NEXT_STATN_NM1,NEXT_STATN_ID2,NEXT_STATN_NM2,BFR_STATN_ID1,BFR_STATN_NM1,BFR_STATN_ID2,BFR_STATN_NM2,TRSF_STATN_ID1,TRSF_ROUTE_ID1,TRSF_STATN_ID2,TRSF_ROUTE_ID2,TRSF_STATN_ID3,TRSF_ROUTE_ID3,ROUTE_NO,SBW_STATN_TRSF_STATN_INFO,SBW_STATN_FOM_INFO,SBW_STATN_PTF_INFO,SBW_STATN_TLROM_INFO,SBW_STATN_CRSG_INFO,SBW_STATN_MTPL_INFO,SBW_STATN_SPT_PBSC_INFO,BIKE_CSTD_CNT,SBW_STATN_ADDR,SBW_STATN_TLNO,SBW_STATN_GFD_INFO,CITY_CD,ROAD_NM_ADDR,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
70908,평강,,486759,290981,70909,대사,0,,70907,대저,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,부산광역시 강서구 대저1동 1639-1,055-310-9608,1,7000,부산광역시 강서구 낙동북로 203,1000,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70909,대사,,485628,291372,70910,불암,0,,70908,평강,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,부산광역시 강서구 강동동 110-2,055-310-9609,1,7000,부산광역시 강서구 낙동북로 82,1001,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70910,불암,,484664,291863,70911,지내,0,,70909,대사,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 불암동 193-24,055-310-9610,1,7000,경상남도 김해시 김해대로 2787,1002,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70911,지내,,484285,292450,70912,김해대학,0,,70910,불암,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 지내동 165-1,055-310-9611,1,7000,경상남도 김해시 김해대로 2718,1003,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70912,김해대학,안동,483542,292609,70913,인제대,0,,70911,지내,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 안동 568-2,055-310-9612,1,7000,경상남도 김해시 김해대로 2641,1004,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70913,인제대,활전,482280,292499,70914,김해시청,0,,70912,김해대학,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 삼정동 150-42,055-310-9613,1,7000,경상남도 김해시 김해대로 2515,1005,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70914,김해시청,,481250,292378,70915,부원,0,,70913,인제대,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 부원동 559-1,055-310-9614,1,7000,경상남도 김해시 김해대로 2408,1006,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70915,부원,,480658,292303,70916,봉황,0,,70914,김해시청,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 부원동 641,055-310-9615,1,7000,경상남도 김해시 김해대로 2350,1007,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70916,봉황,김해여객터미널,479786,292385,70917,수로왕릉,0,,70915,부원,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 전하동 1232,055-310-9616,1,7000,경상남도 김해시 김해대로 2249,1008,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70917,수로왕릉,김해보건소,479582,292991,70918,박물관,0,,70916,봉황,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 외동 1140-1,055-310-9617,1,7000,경상남도 김해시 김해대로 2181,1009,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
