역코드,역명,승강기명,운행구간,설치위치,운행상태,승강기 구분
150,서울역(1),승강기)에스컬레이터 1,B2-B1,4호선연결통로,보수중,ES
150,서울역(1),승강기)에스컬레이터 2,B1-B2,하행 2-3,보수중,ES
150,서울역(1),승강기)에스컬레이터 3,B2-B1,상행 9-3,보수중,ES
150,서울역(1),승강기)에스컬레이터 4,B1-F1,4번 출구측,보수중,ES
150,서울역(1),승강기)에스컬레이터 5,F1-B1,4번 출구측,보수중,ES
151,시청(1),승강기)에스컬레이터 1,F1-B1,5번 출구측,보수중,ES
151,시청(1),승강기)에스컬레이터 2,B1-F1,5번 출구측,사용가능,ES
151,시청(1),승강기)에스컬레이터 3,B1-F1,1번 출구측,사용가능,ES
152,종각,승강기)에스컬레이터 1,F1-B1,1번 출구측,사용가능,ES
152,종각,승강기)에스컬레이터 2,B1-F1,1번 출구측,사용가능,ES
153,종로3가(1),승강기)에스컬레이터 1,F1-B1,1번 출구측,보수중,ES
153,종로3가(1),승강기)에스컬레이터 2,B1-F1,1번 출구측,사용가능,ES
153,종로3가(1),승강기)에스컬레이터 3,F1-B1,14번 출구측,보수중,ES
153,종로3가(1),승강기)에스컬레이터 4,B1-F1,14번 출구측,보수중,ES
155,동대문(1),승강기)에스컬레이터 1,B1-F1,1번 출구측,사용가능,ES
157,제기동,승강기)에스컬레이터 1,F1-B1,2번 출구측,사용가능,ES
157,제기동,승강기)에스컬레이터 2,B1-F1,2번 출구측,사용가능,ES
158,청량리(1),승강기)에스컬레이터 1,F1-B1,6번 출입구,사용가능,ES
158,청량리(1),승강기)에스컬레이터 2,B1-F1,6번 출입구,사용가능,ES
158,청량리(1),승강기)에스컬레이터 3,F1-B1,2번 출구측,사용가능,ES
158,청량리(1),승강기)에스컬레이터 4,B1-F1,2번 출구측,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 1,B2-B3,청량리방향9-1,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 10,B1-F1,2번 출입구,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 11,F1-B1,3번 출입구,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 12,B1-F1,3번 출입구,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 2,B3-B2,청량리방향9-1,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 3,B1-B2,청량리방향6-2,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 4,B2-B1,시청방향 5-4,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 5,B1-B2,시청방향 2-4,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 6,B2-B1,시청방향 2-4,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 7,F1-B1,1번 출입구,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 8,B1-F1,1번 출입구,사용가능,ES
159,동묘앞(1),승강기)에스컬레이터 9,F1-B1,2번 출입구,사용가능,ES
201,시청(2),승강기)에스컬레이터 3,연결통로,서울역방향,보수중,ES
201,시청(2),승강기)에스컬레이터 4,연결통로,서울역방향,보수중,ES
201,시청(2),승강기)에스컬레이터 5,연결통로,내부화장실근접,사용가능,ES
201,시청(2),승강기)에스컬레이터 6,연결통로,내부화장실근접,보수중,ES
202,을지로입구,승강기)에스컬레이터 1,F1-B1,8번 출구측,사용가능,ES
202,을지로입구,승강기)에스컬레이터 2,B1-F1,8번 출구측,보수중,ES
202,을지로입구,승강기)에스컬레이터 3,F1-B1,1번 출구측,사용가능,ES
202,을지로입구,승강기)에스컬레이터 4,연결통로,1번 출구측,보수중,ES
202,을지로입구,승강기)에스컬레이터 5,연결통로,1번 출구측,사용가능,ES
202,을지로입구,승강기)에스컬레이터 6,B1-F1,1번 출구측,사용가능,ES
204,을지로4가(2),승강기)에스컬레이터 1,F1-B1,5번 출구측,사용가능,ES
204,을지로4가(2),승강기)에스컬레이터 2,B1-F1,5번 출구측,사용가능,ES
205,동대문역사문화공원(2),승강기)에스컬레이터 1,F1-B1,3번 출입구,사용가능,ES
205,동대문역사문화공원(2),승강기)에스컬레이터 2,B1-F1,3번 출입구,사용가능,ES
206,신당(2),승강기)에스컬레이터 1,F1-B1,3번 출구측,사용가능,ES
206,신당(2),승강기)에스컬레이터 2,B1-F1,3번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 1,F1-B1,1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 2,B1-F1,1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 3,B1-B2,1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 4,B2-B1,1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 5,B1-F1,1-1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 6,B1-F1,1-1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 7,B1-B2,1-1번 출구측,사용가능,ES
207,상왕십리,승강기)에스컬레이터 8,B1-B2,1-1번 출구측,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 1,F1-B1,3번 출입구,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 2,B1-F1,3번 출입구,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 3,환승통로,외선 7-7,보수중,ES
208,왕십리(2),승강기)에스컬레이터 4,환승통로,외선 7-1,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 5,환승통로,내선 2-3,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 6,환승통로,내선 2-3,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 7,환승통로,내선 3-1,사용가능,ES
208,왕십리(2),승강기)에스컬레이터 8,환승통로,내선 3-1,사용가능,ES
209,한양대,승강기)에스컬레이터 1,지상-F2,1번 출구측,보수중,ES
209,한양대,승강기)에스컬레이터 2,F2-지상,2번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 1,지상-F2,5번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 2,F2-지상,5번 출구측,보수중,ES
210,뚝섬,승강기)에스컬레이터 3,지상-F2,2번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 4,F2-지상,2번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 5,지상-F2,8번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 6,F2-지상,8번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 7,지상-F2,3번 출구측,사용가능,ES
210,뚝섬,승강기)에스컬레이터 8,F2-지상,3번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 1,지상-F2,1번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 2,F2-지상,1번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 3,지상-F2,2번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 4,F2-지상,2번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 5,F2-지상,3번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 6,지상-F2,3번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 7,F2-지상,4번 출구측,사용가능,ES
211,성수,승강기)에스컬레이터 8,지상-F2,4번 출구측,보수중,ES
212,건대입구(2),승강기)에스컬레이터 1,F2-F1,6번 출입구,보수중,ES
