역코드,역명,승강기명,운행구간,설치위치,운행상태,승강기 구분
150,서울역(1),승강기)엘리베이터 외부#1,B1-F1,2번 출구측,사용가능,EV
150,서울역(1),승강기)엘리베이터 외부#2,B1-F1,4번 출구측,사용가능,EV
150,서울역(1),승강기)엘리베이터 외부#3,B1-F1,3번 출구측,사용가능,EV
151,시청(1),승강기)엘리베이터 외부#1,B1-F1,12번출구사이,사용가능,EV
152,종각,승강기)엘리베이터 외부#1,B1-F1,3번 출구측,사용가능,EV
152,종각,승강기)엘리베이터 외부#2,B1-F1,1번 출구측,사용가능,EV
153,종로3가(1),승강기)엘리베이터 외부#1,B1-F1,1213번출구,사용가능,EV
154,종로5가,승강기)엘리베이터 외부#1,B1-F1,89번출구측,사용가능,EV
155,동대문(1),승강기)엘리베이터 외부#1,B1-F1,6번 출구측,사용가능,EV
156,신설동(1),승강기)엘리베이터 외부#1,B1-F1,1번 출구측,사용가능,EV
156,신설동(1),승강기)엘리베이터 외부#2,B1-F1,23번 출구측,사용가능,EV
156,신설동(1),승강기)엘리베이터 외부#3,B1-F1,45번 출구측,사용가능,EV
157,제기동,승강기)엘리베이터 외부#1,B1-F1,1번 출구측,사용가능,EV
158,청량리(1),승강기)엘리베이터 외부#1,B2-F1,6번 출구측,사용가능,EV
159,동묘앞(1),승강기)엘리베이터 외부#1,B1-BM1-1F,외부,사용가능,EV
159,동묘앞(1),승강기)엘리베이터 외부#2,B1-1F,외부,보수중,EV
201,시청(2),승강기)엘리베이터 외부#1,B1-1F,9번 출구측,사용가능,EV
202,을지로입구,승강기)엘리베이터 외부#1,B1-BM1-F1,1번 출구측,사용가능,EV
202,을지로입구,승강기)엘리베이터 외부#2,B1-F1,5번 출구측,사용가능,EV
204,을지로4가(2),승강기)엘리베이터 외부#1,B1-F1,8번 출구측,사용가능,EV
205,동대문역사문화공원(2),승강기)엘리베이터 외부#1,B1-1F,1번 출구측,사용가능,EV
206,신당(2),승강기)엘리베이터 외부#1,B1-F1,2번 출구측,사용가능,EV
207,상왕십리,승강기)엘리베이터 외부#1,B1-F1,23번출구측,사용가능,EV
209,한양대,승강기)엘리베이터 외부#1,지상-F2,4번 출구측,사용가능,EV
210,뚝섬,승강기)엘리베이터 외부#1,지상-F2,3번 출구측,사용가능,EV
210,뚝섬,승강기)엘리베이터 외부#2,지상-F2,6번 출구측,사용가능,EV
211,성수,승강기)엘리베이터 외부#1,지상-F1,1번 출구측,사용가능,EV
211,성수,승강기)엘리베이터 외부#2,지상-F1,4번 출구측,사용가능,EV
212,건대입구(2),승강기)엘리베이터 외부#1,지상-F2-F3,7-3~6번출구,사용가능,EV
213,구의,승강기)엘리베이터 외부#1,지상-F2-F3,2번 출구측,사용가능,EV
216,잠실(2),승강기)엘리베이터 외부#1,B1-지상,6번 출구측,사용가능,EV
216,잠실(2),승강기)엘리베이터 외부#2,B1-지상,12번 출구측,사용가능,EV
217,잠실새내,승강기)엘리베이터 외부#1,B1-F1,7번 출구측,사용가능,EV
217,잠실새내,승강기)엘리베이터 외부#2,B1-F1,2번 출구측,사용가능,EV
218,종합운동장(2),승강기)엘리베이터 외부#1,B1-F1,6번 출구측,사용가능,EV
219,삼성,승강기)엘리베이터 외부#1,B1-F1,1번 출구측,보수중,EV
219,삼성,승강기)엘리베이터 외부#2,B1-F1,6번 출구측,사용가능,EV
219,삼성,승강기)엘리베이터 외부#3,B1-F1,8번 출구측,사용가능,EV
219,삼성,승강기)엘리베이터 외부#4,B1-F1,4번 출구측,사용가능,EV
220,선릉(2),승강기)엘리베이터 외부#1,B1-F1,1번 출구측,보수중,EV
220,선릉(2),승강기)엘리베이터 외부#2,B1-F1,5번 출구측,보수중,EV
220,선릉(2),승강기)엘리베이터 외부#3,B1-F1,10번 출구측,사용가능,EV
221,역삼,승강기)엘리베이터 외부#1,B1-F1,3번 출구측,사용가능,EV
221,역삼,승강기)엘리베이터 외부#2,B1-F1,4번 출구측,사용가능,EV
222,강남(2),승강기)엘리베이터 외부#1,B1-F1,1번 출구측,사용가능,EV
222,강남(2),승강기)엘리베이터 외부#2,B1-F1,10번 출구측,사용가능,EV
223,교대(2),승강기)엘리베이터 외부#1,B1-1F,5번 출구측,사용가능,EV
224,서초,승강기)엘리베이터 외부#1,B1-F1,1번 출구측,사용가능,EV
224,서초,승강기)엘리베이터 외부#2,B1-F1,4번 출구측,사용가능,EV
225,방배,승강기)엘리베이터 외부#1,B1-F1,3번 출구측,사용가능,EV
226,사당(2),승강기)엘리베이터 외부#1,B1-1F,14번 출구측,사용가능,EV
226,사당(2),승강기)엘리베이터 외부#2,B1-F1,6번 출구측,사용가능,EV
