역코드,역명,승강기명,운행구간,엘리베이터 빠른 환승,임산부석 엘리베이터 빠른 환승,약냉방 엘리베이터 빠른 환승,임산부석 약냉방 엘리베이터 빠른 환승,운행상태,승강기 구분
151,시청(1),승강기)엘리베이터 내부#1,B2-B1,상행 3-2,상행 3-2,상행 4-1,상행 4-2,사용가능,EV
151,시청(1),승강기)엘리베이터 내부#2,B2-B1,하행 8-3,하행 8-3,하행 7-4,하행 7-3,사용가능,EV
152,종각,승강기)엘리베이터 내부#1,B2-B1,상행 6-4,상행 6-3,상행 7-1,상행 7-2,사용가능,EV
152,종각,승강기)엘리베이터 내부#2,B2-B1,하행 4-4,하행 4-3,하행 4-3,하행 4-3,사용가능,EV
153,종로3가(1),승강기)엘리베이터 내부#1,B2-B1,상행 4-4,상행 4-3,상행 4-3,상행 4-3,사용가능,EV
153,종로3가(1),승강기)엘리베이터 내부#2,B2-B1,하행 6-4,하행 6-3,하행 7-1,하행 7-2,사용가능,EV
154,종로5가,승강기)엘리베이터 내부#1,B2-B1,상행 8-3,상행 8-3,상행 7-4,상행 7-3,사용가능,EV
154,종로5가,승강기)엘리베이터 내부#2,B2-B1,하행 3-2,하행 3-2,하행 4-1,하행 4-2,사용가능,EV
155,동대문(1),승강기)엘리베이터 내부#1,B2-B1,상행 10-4,상행 10-3,상행 7-4,상행 7-3,사용가능,EV
155,동대문(1),승강기)엘리베이터 내부#2,B2-B1,하행 2-1,하행 2-2,하행 4-1,하행 4-2,사용가능,EV
156,신설동(1),승강기)엘리베이터 내부#1,B2-B1,상행 3-4,상행 3-3,상행 4-1,상행 4-2,사용가능,EV
156,신설동(1),승강기)엘리베이터 내부#2,B2-B1,하행 8-1,하행 8-2,하행 7-4,하행 7-3,사용가능,EV
157,제기동,승강기)엘리베이터 내부#1,B2-B1,상행 9-4,상행 9-3,상행 7-4,상행 7-3,사용가능,EV
157,제기동,승강기)엘리베이터 내부#2,B2-B1,하행 2-1,하행 2-2,하행 4-1,하행 4-2,사용가능,EV
159,동묘앞(1),승강기)엘리베이터 내부#2,B2-BM2-B1,상행 10-3,상행 10-3,상행 7-4,상행 7-3,사용가능,EV
159,동묘앞(1),승강기)엘리베이터 내부#3,B2-B1,상행 8-4,상행 8-4,상행 7-4,상행 7-3,사용가능,EV
159,동묘앞(1),승강기)엘리베이터 내부#5,B2-B1,하행 1-2,하행 1-2,하행 4-1,하행 4-2,사용가능,EV
159,동묘앞(1),승강기)엘리베이터 내부#4,B2-B1,하행 7-3,하행 7-3,하행 7-3,하행 7-3,사용가능,EV
202,을지로입구,승강기)엘리베이터 내부#2,B2-B1,내선 6-2,내선 6-2,내선 7-1,내선 7-2,사용가능,EV
202,을지로입구,승강기)엘리베이터 내부#1,B2-B1,외선 5-3,외선 5-3,외선 4-4,외선 4-3,사용가능,EV
203,을지로3가(2),승강기)엘리베이터 내부#2,B2-B1,내선 3-2,내선 3-2,내선 4-1,내선 4-2,사용가능,EV
203,을지로3가(2),승강기)엘리베이터 내부#1,B2-B1,외선 8-3,외선 8-3,외선 7-4,외선 7-3,사용가능,EV
204,을지로4가(2),승강기)엘리베이터 내부#2,B2-B1,내선 8-3,내선 8-3,내선 7-4,내선 7-3,사용가능,EV
204,을지로4가(2),승강기)엘리베이터 내부#1,B2-B1,외선 3-2,외선 3-2,외선 4-1,외선 4-2,사용가능,EV
205,동대문역사문화공원(2),승강기)엘리베이터 내부#2,B2-B1,내선 3-2,내선 3-2,내선 4-1,내선 4-2,사용가능,EV
205,동대문역사문화공원(2),승강기)엘리베이터 내부#1,B2-B1,외선 8-3,외선 8-3,외선 7-4,외선 7-3,사용가능,EV
206,신당(2),승강기)엘리베이터 내부#2,B2-B1,내선 7-4,내선 7-3,내선 7-3,내선 7-3,사용가능,EV
206,신당(2),승강기)엘리베이터 내부#1,B2-B1,외선 3-4,외선 3-3,외선 4-1,외선 4-2,사용가능,EV
207,상왕십리,승강기)엘리베이터 내부#2,B2-B1,내선 3-4,내선 3-3,내선 4-1,내선 4-2,사용가능,EV
207,상왕십리,승강기)엘리베이터 내부#1,B2-B1,외선 8-1,외선 8-2,외선 7-4,외선 7-3,사용가능,EV
208,왕십리(2),승강기)엘리베이터 내부#2,B3-B2,내선 3-4,내선 3-3,내선 4-1,내선 4-2,사용가능,EV
208,왕십리(2),승강기)엘리베이터 내부#1,B3-B2,외선 3-2,외선 3-2,외선 4-1,외선 4-2,사용가능,EV
210,뚝섬,승강기)엘리베이터 내부#2,F2-F3,내선 7-1,내선 7-2,내선 7-2,내선 7-2,사용가능,EV
210,뚝섬,승강기)엘리베이터 내부#1,F2-F3,외선 7-1,외선 7-2,외선 7-2,외선 7-2,사용가능,EV
211,성수,승강기)엘리베이터 내부#2,F2-F3,내선 4-4,내선 4-3,내선 4-3,내선 4-3,사용가능,EV
211,성수,승강기)엘리베이터 내부#1,F2-F3,외선 7-1,외선 7-2,외선 7-2,외선 7-2,사용가능,EV
214,강변,승강기)엘리베이터 내부#2,F1-F2,내선 7-3,내선 7-3,내선 7-3,내선 7-3,사용가능,EV
214,강변,승강기)엘리베이터 내부#1,F1-F2,외선 4-2,외선 4-2,외선 4-2,외선 4-2,사용가능,EV
215,잠실나루,승강기)엘리베이터 내부#2,F1-F2,내선 8-1,내선 8-2,내선 7-4,내선 7-3,사용가능,EV
215,잠실나루,승강기)엘리베이터 내부#1,F1-F2,외선 3-4,외선 3-3,외선 4-1,외선 4-2,사용가능,EV
216,잠실(2),승강기)엘리베이터 내부#2,B2-B1,내선 6-3,내선 6-3,내선 7-1,내선 7-2,사용가능,EV
216,잠실(2),승강기)엘리베이터 내부#1,B2-B1,외선 5-2,외선 5-2,외선 4-4,외선 4-3,사용가능,EV
217,잠실새내,승강기)엘리베이터 내부#2,B2-B1,내선 4-1,내선 4-2,내선 4-2,내선 4-2,사용가능,EV
217,잠실새내,승강기)엘리베이터 내부#1,B2-B1,외선 7-3,외선 7-3,외선 7-3,외선 7-3,사용가능,EV
218,종합운동장(2),승강기)엘리베이터 내부#2,B2-B1,내선 8-4,내선 8-3,내선 7-4,내선 7-3,사용가능,EV
218,종합운동장(2),승강기)엘리베이터 내부#1,B2-B1,외선 2-4,외선 2-3,외선 4-1,외선 4-2,사용가능,EV
221,역삼,승강기)엘리베이터 내부#2,B2-B1,내선 4-1,내선 4-2,내선 4-2,내선 4-2,사용가능,EV
221,역삼,승강기)엘리베이터 내부#1,B2-B1,외선 7-3,외선 7-3,외선 7-3,외선 7-3,사용가능,EV
222,강남(2),승강기)엘리베이터 내부#2,B2-B1,내선 3-4,내선 3-3,내선 4-1,내선 4-2,사용가능,EV
222,강남(2),승강기)엘리베이터 내부#1,B2-B1,외선 8-1,외선 8-2,외선 7-4,외선 7-3,사용가능,EV
223,교대(2),승강기)엘리베이터 내부#2,B2-B1,내선 3-1,내선 3-2,내선 4-1,내선 4-2,사용가능,EV
223,교대(2),승강기)엘리베이터 내부#1,B2-B1,외선 8-4,외선 8-3,외선 7-4,외선 7-3,사용가능,EV
224,서초,승강기)엘리베이터 내부#2,B2-B1,내선 9-1,내선 9-2,내선 7-4,내선 7-3,사용가능,EV
224,서초,승강기)엘리베이터 내부#1,B2-B1,외선 2-4,외선 2-3,외선 4-1,외선 4-2,사용가능,EV
225,방배,승강기)엘리베이터 내부#2,B2-B1,내선 3-1,내선 3-2,내선 4-1,내선 4-2,사용가능,EV
225,방배,승강기)엘리베이터 내부#1,B2-B1,외선 8-3,외선 8-3,외선 7-4,외선 7-3,사용가능,EV
227,낙성대,승강기)엘리베이터 내부#2,B2-B1,내선 3-3,내선 3-3,내선 4-1,내선 4-2,사용가능,EV
227,낙성대,승강기)엘리베이터 내부#1,B2-B1,외선 8-2,외선 8-2,외선 7-4,외선 7-3,사용가능,EV
231,신대방,승강기)엘리베이터 내부#2,F2-F3,내선 8-1,내선 8-2,내선 7-4,내선 7-3,사용가능,EV
231,신대방,승강기)엘리베이터 내부#1,F2-F3,외선 3-4,외선 3-3,외선 4-1,외선 4-2,사용가능,EV
232,구로디지털단지,승강기)엘리베이터 내부#2,F2-F3,내선 7-4,내선 7-3,내선 7-3,내선 7-3,사용가능,EV
233,대림(2),승강기)엘리베이터 내부#2,F2-F3,내선 8-3,내선 8-3,내선 7-4,내선 7-3,사용가능,EV
233,대림(2),승강기)엘리베이터 내부#1,F2-F3,외선 3-2,외선 3-2,외선 4-1,외선 4-2,사용가능,EV
234,신도림(2),승강기)엘리베이터 내부#1,B2-B1,섬식 3-2,섬식 3-2,섬식 3-2,섬식 3-2,사용가능,EV
234,신도림(2),승강기)엘리베이터 내부#2,B2-B1,섬식 4-4,섬식 4-3,섬식 4-3,섬식 4-3,사용가능,EV
235,문래,승강기)엘리베이터 내부#2,B2-B1,내선 4-1,내선 4-2,내선 4-2,내선 4-2,사용가능,EV
235,문래,승강기)엘리베이터 내부#1,B2-B1,외선 7-4,외선 7-3,외선 7-3,외선 7-3,사용가능,EV
236,영등포구청(2),승강기)엘리베이터 내부#2,B2-B1,내선 3-1,내선 3-2,내선 4-1,내선 4-2,보수중,EV
236,영등포구청(2),승강기)엘리베이터 내부#1,B2-B1,외선 8-4,외선 8-3,외선 7-4,외선 7-3,사용가능,EV
237,당산(2),승강기)엘리베이터 내부#2,F2-F3,내선 3-2,내선 3-2,내선 4-1,내선 4-2,사용가능,EV
237,당산(2),승강기)엘리베이터 내부#1,F2-F3,외선 8-3,외선 8-3,외선 7-4,외선 7-3,사용가능,EV
238,합정(2),승강기)엘리베이터 내부#2,B2-B1,내선 7-3,내선 7-3,내선 7-3,내선 7-3,사용가능,EV
