역코드,역명,승강기명,운행구간,설치위치,운행상태,승강기 구분
319,종로3가(3),승강기)무빙워크 1,B3-B3,1호선연결통로,사용가능,MW
319,종로3가(3),승강기)무빙워크 2,B3-B3,5호선연결통로,보수중,MW
2513,김포공항(5),승강기)무빙워크 1,B2-B2,내부,사용가능,MW
2513,김포공항(5),승강기)무빙워크 2,B2-B2,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 1,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 2,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 3,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 4,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 5,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 6,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 7,B3-B3,내부,사용가능,MW
2629,삼각지(6),승강기)무빙워크 8,B3-B3,내부,사용가능,MW
2636,신당(6),승강기)무빙워크 1,B1-B1,내부,보수중,MW
2636,신당(6),승강기)무빙워크 2,B1-B1,내부,사용가능,MW
2645,석계(6),승강기)무빙워크 1,B4-B4,내부,사용가능,MW
2645,석계(6),승강기)무빙워크 2,B4-B4,내부,사용가능,MW
2738,총신대입구(7),승강기)무빙워크 1,B4-B4,내부,사용가능,MW
2738,총신대입구(7),승강기)무빙워크 2,B4-B4,내부,사용가능,MW
2752,온수(7),승강기)무빙워크 1,B4-B4,내부,사용가능,MW
2752,온수(7),승강기)무빙워크 2,B4-B4,내부,사용가능,MW
