역코드,역명,승강기명,운행구간,설치위치,운행상태,승강기 구분
150,서울역(1),승강기)휠체어리프트 내부1,B2-B1,내부 C 계단,사용가능,WL
156,신설동(1),승강기)휠체어리프트 내부1,B2-B1,승강장,사용가능,WL
156,신설동(1),승강기)휠체어리프트 내부2,B2-B1,승강장,사용가능,WL
156,신설동(1),승강기)휠체어리프트 내부3,B2-B1,연결통로,사용가능,WL
156,신설동(1),승강기)휠체어리프트 내부4,B2-B1,연결통로,사용가능,WL
156,신설동(1),승강기)휠체어리프트 외부2,지상-B1,6번출구,사용가능,WL
158,청량리(1),승강기)휠체어리프트 내부1,B2-B1,승강장,사용가능,WL
158,청량리(1),승강기)휠체어리프트 내부2,B2-B1,환승통로,사용가능,WL
209,한양대,승강기)휠체어리프트 내부1,F1-F2,내부,사용가능,WL
216,잠실(2),승강기)휠체어리프트 내부1,B1-B1,상가측 연결계단,사용가능,WL
219,삼성,승강기)휠체어리프트 내부1,B1-B1,코엑스연결계단,사용가능,WL
244,용답,승강기)휠체어리프트 내부1,F1-F2,내선승강장,사용가능,WL
244,용답,승강기)휠체어리프트 내부2,F1-F2,대합실,사용가능,WL
246,신설동(2),승강기)휠체어리프트 내부1,B2-B1,승강장,사용가능,WL
246,신설동(2),승강기)휠체어리프트 내부2,B2-B1,승강장,사용가능,WL
246,신설동(2),승강기)휠체어리프트 내부3,B2-B1,승강장,사용가능,WL
246,신설동(2),승강기)휠체어리프트 내부4,B2-B1,환승통로,사용가능,WL
246,신설동(2),승강기)휠체어리프트 내부5,B2-B1,환승통로,사용가능,WL
246,신설동(2),승강기)휠체어리프트 외부1,B1-지상,10번출구측,사용가능,WL
249,신정네거리,승강기)휠체어리프트 내부1,B2-B3,23번 출구,사용가능,WL
329,고속터미널(3),승강기)휠체어리프트 내부1,B2-B1,대합실,사용가능,WL
330,교대(3),승강기)휠체어리프트 내부1,B1-B1,연결계단,사용가능,WL
410,상계,승강기)휠체어리프트 내부1,F2-F3,연결통로,사용가능,WL
410,상계,승강기)휠체어리프트 내부2,F2-F3,12번출구,사용가능,WL
412,창동(4),승강기)휠체어리프트 내부3,F2-F3,연결통로,사용가능,WL
412,창동(4),승강기)휠체어리프트 내부4,F1-F3,승강장,사용가능,WL
412,창동(4),승강기)휠체어리프트 내부5,F1-F3,승강장,사용가능,WL
412,창동(4),승강기)휠체어리프트 내부6,F2-F3,연결통로,사용가능,WL
423,충무로(4),승강기)휠체어리프트 내부1,B3-B2,승강장,사용가능,WL
426,서울역(4),승강기)휠체어리프트 외부1,B1-지상,9-1번출구,사용가능,WL
430,이촌(4),승강기)휠체어리프트 외부1,B1-F1,연결통로,사용가능,WL
433,사당(4),승강기)휠체어리프트 내부1,B1-M,연결통로,사용가능,WL
2519,까치산(5),승강기)휠체어리프트 1,B4-B5,내부,보수중,WL
2519,까치산(5),승강기)휠체어리프트 2,B4-B5,내부,보수중,WL
2519,까치산(5),승강기)휠체어리프트 3,F1-B1,외부,사용가능,WL
2524,영등포구청(5),승강기)휠체어리프트 3,B2-B4,내부,사용가능,WL
2526,신길(5),승강기)휠체어리프트 1,B3-B4,내부,사용가능,WL
2526,신길(5),승강기)휠체어리프트 3,B1-B3,내부,사용가능,WL
2533,서대문,승강기)휠체어리프트 1,B1-B1,56번출구측,사용가능,WL
2534,광화문,승강기)휠체어리프트 2,B3-B4,내부,사용가능,WL
2534,광화문,승강기)휠체어리프트 3,B2-B3,내부,사용가능,WL
2535,종로3가(5),승강기)휠체어리프트 1,B4-B5,내부,사용가능,WL
2537,동대문역사문화공원(5),승강기)휠체어리프트 1,B4-B5,내부,사용가능,WL
2537,동대문역사문화공원(5),승강기)휠체어리프트 4,F1-B1,외부,사용가능,WL
2543,답십리,승강기)휠체어리프트 1,B1-B1,내부,보수중,WL
2544,장한평,승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2547,광나루,승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2549,강동,승강기)휠체어리프트 1,B3-B4,내부,보수중,WL
2554,상일동,승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2554,상일동,승강기)휠체어리프트 2,B1-B2,내부,사용가능,WL
2561,마천,승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2561,마천,승강기)휠체어리프트 2,B1-B2,내부,사용가능,WL
2561,마천,승강기)휠체어리프트 3,F1-B1,외부,사용가능,WL
2613,불광(6),승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2613,불광(6),승강기)휠체어리프트 2,B1-B2,내부,사용가능,WL
2616,구산,승강기)휠체어리프트 1,B2-B3,내부,사용가능,WL
2617,새절,승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2619,디지털미디어시티(6),승강기)휠체어리프트 1,B2-B3,내부,사용가능,WL
2619,디지털미디어시티(6),승강기)휠체어리프트 2,B3-B2,내부,사용가능,WL
2619,디지털미디어시티(6),승강기)휠체어리프트 3,F1-B2,외부,사용가능,WL
2621,마포구청,승강기)휠체어리프트 1,B2-B3,내부,사용가능,WL
2621,마포구청,승강기)휠체어리프트 2,B2-B3,내부,사용가능,WL
2621,마포구청,승강기)휠체어리프트 3,B1-B2,내부,사용가능,WL
2621,마포구청,승강기)휠체어리프트 4,F1-B1,외부,사용가능,WL
2623,합정(6),승강기)휠체어리프트 1,B2-B3,내부,사용가능,WL
2624,상수,승강기)휠체어리프트 1,B1-B2,내부,사용가능,WL
2624,상수,승강기)휠체어리프트 2,F1-B1,외부,사용가능,WL
2625,광흥창,승강기)휠체어리프트 1,B2-B3,내부,사용가능,WL
2626,대흥,승강기)휠체어리프트 2,B2-B1,외부,사용가능,WL
2629,삼각지(6),승강기)휠체어리프트 1,B1-B4,내부,사용가능,WL
